DATE				SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat
DD-HH				BACK	-94.21	57.71		FSIM	-121.23	61.76		FSMI	-111.95	60.02		GILL	-94.64	56.38		GULL	-108.26	50.06		MCMU	-111.21	56.66		PINA	-96.04	50.2		RANK	-92.11	62.82		THRF	-96.36	48.03		WGRY	-120.03	51.88		BLC	-96.01	64.32		IQA	-68.52	63.75		MEA	-113.35	54.62		OTT	-75.55	45.4		RES	-94.89	74.69		STJ	-52.68	47.6		VIC	-123.42	48.52

				max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)
03-14				34.88				53.39				37.71				32.11				16.34				21.66				18.77				18.77				160.82				19.48				104.96				66.56								24.52				98.21				16.33				16.26
03-15				21.39				31.22				18.46				20.88				14.82				15.6				17.67				39.16				198.09				12.98				47.8				42.91								16.88				34.13				17.29				12.42
03-16				45.96				51.44				38.06				112.61				27.0				26.67				26.86				51.91				174.85				23.36				76.09				57.72								17.44				81.45				14.73				16.46
03-17				35.27				39.33				30.46				41.74				15.85				25.36				21.15				45.21				178.18				18.76				60.13				85.52								13.2				119.44				13.77				16.13
03-18				24.94				31.91				23.25				30.51				26.4				30.47				25.85				42.88				200.51				20.68				68.27				54.58								11.8				137.69				11.58				20.92
03-19				22.85				34.77				25.99				36.74				16.28				40.02				28.56				45.95				160.74				22.6				45.86				51.3								8.96				127.36				13.89				22.85
03-20				11.59				36.3				17.86				24.55				18.88				15.27				30.91				30.91				130.5				16.2				56.79				59.81								12.71				109.13				12.4				11.59
03-21				31.93				24.7				22.83				22.83				19.26				16.57				18.23				50.75				156.37				32.85				56.27				43.45								11.18				105.0				10.85				7.62
03-22				32.35				39.68				33.68				33.68				21.28				28.38				23.69				47.4				146.06				19.44				53.45				51.63								12.99				68.54				10.53				15.42
03-23				42.72				38.43				33.61				57.49				23.14				29.15				27.55				55.55				164.28				21.58				60.35				48.77								14.84				77.56				9.41				17.34
03-24				39.04				26.25				22.87				46.65				16.58				17.32				23.64				40.6				144.07				11.71				40.26				41.39								12.17				32.19				9.29				9.22
04-01				40.81				47.52				40.78				46.68				16.07				27.71				22.82				75.2				128.75				19.44				75.92				56.72								12.46				58.79				8.91				12.49
04-02				76.53				53.02				45.43				45.43				21.79				33.74				23.92				87.15				148.92				28.14				73.17				136.3								17.37				47.41				18.93				18.31
04-03				137.78				62.37				69.98				69.98				44.53				33.37				30.45				78.52				145.36				30.55				55.53				410.57								27.72				56.57				36.97				22.06
04-04				110.78				37.01				39.86				74.32				11.48				41.08				28.48				205.37				146.79				28.65				148.03				134.44								22.46				37.86				25.43				18.57
04-05				395.17				123.52				153.2				282.63				49.84				92.04				53.02				658.74				180.65				36.84				435.27				92.22								27.29				63.97				21.83				32.7
04-06				274.74				85.26				113.94				182.62				21.31				49.04				24.05				241.76				158.46				29.47				182.87				82.57								12.53				43.03				14.84				20.22
04-07				144.35				104.28				154.12				154.12				12.7				36.78				15.02				45.54				146.02				16.42				41.17				28.09								9.99				18.73				8.75				10.81
04-08				56.79				36.59				40.18				39.56				8.72				17.07				16.48				32.5				136.48				10.16				24.52				41.23								4.74				13.94				5.81				5.97
04-09				33.6				93.89				60.14				30.26				10.48				19.58				15.62				23.89				136.02				13.64				22.12				59.0								6.79				24.02				12.23				7.0
04-10				79.54				177.74				149.0				63.29				15.67				46.99				24.99				54.26				158.86				18.0				49.15				142.76								10.34				44.95				19.81				12.48
04-11				66.66				113.12				98.06				52.48				16.98				39.05				27.41				98.21				139.66				12.86				51.01				114.21								15.66				36.09				17.88				9.64
